"endTime","artistName","trackName","msPlayed"
"2024-01-24 13:28","Yusuf & Yasin","NICHT DU",1060
"2024-01-24 13:28","O.G.","Geh dein Weg (feat. Schubi AKpella)",1000
"2024-01-24 13:28","Bobby Vandamme","SCHWEBEN",1710
"2024-01-24 13:28","LOC 079","Bitte lieb mich.",1050
"2024-01-24 13:28","Pouma","All Night Long",1940
"2024-01-24 13:28","OMAR","4 vor 8",1630
"2024-01-24 13:28","YAKARY","Jolie",810
"2024-01-24 13:28","Ramo","9PM",850
"2024-01-24 13:28","LOC 079","Was juckt uns Geld?",1130
"2024-01-24 13:28","Rasa","Verhindert",1790
"2024-01-24 13:29","Acnatro","Heaven",620
"2024-01-24 13:29","The Ironix","Nasty",1450
"2024-01-24 13:29","BALER","Moonrocks",5910
"2024-01-24 13:32","Kerchak","Roule un autre - A COLORS SHOW",176086
"2024-01-24 13:37","Kerchak","Roule un autre - A COLORS SHOW",333630
"2024-01-24 13:40","Jazeek","Amsterdam",159587
"2024-01-24 15:38","Lacrim","CODE BARRE",241480
"2024-01-24 15:51","Moha K","Besoin de toi",162426
"2024-01-24 15:55","Lacrim","Senor de los Gallos",233466
"2024-01-24 15:57","AriBeatz","J-Lo",161574
"2024-01-24 16:00","Lacrim","JOHN GOTTI (feat. Baby Gang)",174280
"2024-01-24 16:07","Jazeek","Amsterdam",159587
"2024-01-24 16:09","Lacrim","CODE BARRE",18148
"2024-01-24 16:09","Niaks","C'est miné",144333
"2024-01-24 18:35","Lacrim","CODE BARRE",256480
"2024-01-24 18:38","Mister You","Le neiman",195447
"2024-01-24 18:39","Luciano","Intro",5360
"2024-01-24 18:39","C.Gambino","AMSTERDAM",18980
"2024-01-24 18:39","Mister You","La Costa",10514
"2024-01-24 18:43","Jazeek","Amsterdam",225177
"2024-01-24 18:45","Niaks","C'est miné",144333
"2024-01-24 18:49","Lacrim","CODE BARRE",224879
"2024-01-24 18:52","Makar","Je M'en Fous",177361
"2024-01-24 18:55","Makar","Mood",151690
"2024-01-24 18:57","Makar","RAUS",160645
"2024-01-24 19:00","Makar","Alone",163069
"2024-01-24 19:02","Makar","Dream",144000
"2024-01-24 19:05","Makar","High In Amsterdam",155014
